,0
TGS822_std,0.054520598454805815
MQ135_std,0.0539876856753707
MQ3_std,0.051829180839964635
TGS2602_std,0.049792108261985435
TGS2600_std,0.04749605009736114
MiCS_NH3_std,0.04347390984204919
MQ138_std,0.041154397591153864
TGS2602_max,0.04090034508866076
MiCS_NO2_std,0.035777934551680164
TGS2602_mean,0.0346730115233486
MQ138_mean,0.03218851898887174
MQ138_max,0.029700896230685666
MiCS_CO_std,0.029304923662029178
MiCS_CO_min,0.027969061722791372
MiCS_CO_max,0.027439914244574197
MQ135_min,0.026794887126397687
TGS2602_min,0.02427507093005846
TGS822_mean,0.024141619868380072
MQ138_min,0.02413033496429022
TGS2600_max,0.02406368750205108
MQ135_max,0.024005752274064467
TGS822_max,0.023311320601239527
MQ3_max,0.02300095448365344
TGS822_min,0.022499281457944397
TGS2600_min,0.02233477289913104
MQ3_min,0.02103195436363484
MiCS_CO_mean,0.016144749743114153
MiCS_NH3_max,0.015104572955596567
MiCS_NO2_min,0.014806118352930086
MiCS_NO2_max,0.014660519154417727
TGS2600_mean,0.014106001641034996
MiCS_NH3_min,0.013950809103469016
MQ3_mean,0.013416030028059705
MQ135_mean,0.01301107102797604
MiCS_NH3_mean,0.012532715146169467
MiCS_NO2_mean,0.012469239601054604
